match_id,team,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_inside_box,shots_outside_box,fouls,corner_kicks,offsides,ball_possession_pct,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_pct,expected_goals,goals_prevented,espn_top_xg,espn_keeper_xg_conceded,espn_top_duels_won,espn_top_big_chances_created,espn_top_big_chances_missed,fotmob_expected_goals,fotmob_expected_goals_conceded,fotmob_expected_goals_non_penalty,fotmob_expected_goals_on_target,fotmob_big_chances,fotmob_big_chances_conceded,fotmob_big_chances_missed,fotmob_total_shots,fotmob_shots_on_target,fotmob_shots_inside_box,fotmob_touches_opp_box,fotmob_detail_coverage,fotmob_goal_xg_delta,fotmob_xgot_xg_delta,fotmob_xg_per_shot,fotmob_big_chance_rate,fotmob_big_chance_conversion,fotmob_chance_waste_rate,fotmob_underlying_threat,fotmob_finishing_signal,fotmob_waste_signal,fotmob_low_possession_punch,fotmob_sterile_control_risk,fotmob_defensive_resistance,fotmob_chance_control_signal,fotmob_unrewarded_pressure,fotmob_clinical_chance_signal,source,notes
73,Canada,7,,12,0,,,16,4,0,41.6,2,0,1,379,298,80,,,0.24,0.14,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760486,ESPN summary API used to fill blank fields.
73,South Africa,1,,6,1,,,10,1,1,58.4,0,0,5,554,466,80,,,0.07,1.38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760486,ESPN summary API used to fill blank fields.
74,Germany,6,,21,8,,,18,16,4,75.3,2,0,2,799,719,90,,,0.10,0.42,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760489,ESPN summary API used to fill blank fields.
74,Paraguay,3,,7,2,,,12,6,1,24.7,2,0,6,257,161,60,,,0.20,1.49,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760489,ESPN summary API used to fill blank fields.
75,Morocco,5,,11,2,,,15,8,0,70.1,1,0,1,879,801,90,,,0.23,0.24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760488,ESPN summary API used to fill blank fields.
75,Netherlands,2,,6,3,,,18,5,3,29.9,0,0,5,371,292,80,,,0.04,1.38,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760488,ESPN summary API used to fill blank fields.
76,Brazil,7,,19,6,,,4,6,1,68.6,2,0,1,682,625,90,,,0.15,0.23,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760487,ESPN summary API used to fill blank fields.
76,Japan,2,,5,2,,,13,2,0,31.4,3,0,4,315,261,80,,,0.08,1.73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760487,ESPN summary API used to fill blank fields.
77,France,12,,25,4,,,14,9,3,61,0,0,3,551,484,90,,,0.86,0.70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760492,ESPN summary API used to fill blank fields.
77,Sweden,3,,8,1,,,10,1,1,39,0,0,9,350,278,80,,,0.17,3.24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760492,ESPN summary API used to fill blank fields.
78,Ivory Coast,5,,14,1,,,6,14,2,47,0,0,1,401,339,80,,,0.10,1.90,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760490,ESPN summary API used to fill blank fields.
78,Norway,4,,9,3,,,7,3,2,53,1,0,4,474,415,90,,,1.17,1.49,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760490,ESPN summary API used to fill blank fields.
79,Ecuador,1,,7,1,,,14,8,1,57.2,3,1,1,410,341,80,,,0.16,1.05,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760491,ESPN summary API used to fill blank fields.
79,Mexico,3,,15,3,,,10,3,0,42.8,0,0,1,316,248,80,,,0.46,0.75,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760491,ESPN summary API used to fill blank fields.
80,Congo DR,2,,7,2,,,12,3,4,40.3,1,0,5,365,299,80,,,0.10,2.16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760495,ESPN summary API used to fill blank fields.
80,England,7,,16,3,,,10,5,0,59.7,1,0,1,517,468,90,,,0.54,0.77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760495,ESPN summary API used to fill blank fields.
